Match: rule-set 'v1.1-baseline'  games=2000  depth=8  max-plies=600  openings=2000x6plies  seed=20260425  parallel=4
  [w3]  #128  0-1     Party extinct                       144 plies    6.3s  (139/2000)
  [w1]  #142  0-1     Party extinct                       244 plies   10.7s  (140/2000)
  [w3]  #132  0-1     Party extinct                        80 plies    3.6s  (141/2000)
  [w0]  #133  1-0     Treasure checkmated or captured     255 plies   11.1s  (142/2000)
  [w2]  #159  1-0     Treasure checkmated or captured     329 plies   14.0s  (143/2000)
  [w1]  #146  1-0     Treasure checkmated or captured     273 plies   11.9s  (144/2000)
  [w0]  #137  1-0     Treasure checkmated or captured     157 plies    7.0s  (145/2000)
  [w2]  #163  1-0     Treasure checkmated or captured     203 plies    9.0s  (146/2000)
  [w1]  #150  1-0     Treasure checkmated or captured     225 plies    9.8s  (147/2000)
  [w3]  #136  *       ply cap (600)                       600 plies   25.5s  (148/2000)
  [w2]  #167  1-0     Treasure checkmated or captured     323 plies   14.5s  (149/2000)
  [w1]  #154  1-0     Treasure checkmated or captured     297 plies   13.2s  (150/2000)
  [w3]  #140  1-0     Treasure checkmated or captured     147 plies    6.5s  (151/2000)
  [w0]  #141  *       ply cap (600)                       600 plies   25.9s  (152/2000)
  [w1]  #158  1-0     Treasure checkmated or captured     225 plies   10.0s  (153/2000)
  [w2]  #171  1-0     Treasure checkmated or captured     257 plies   11.1s  (154/2000)
  [w0]  #145  1-0     Treasure checkmated or captured     121 plies    5.5s  (155/2000)
  [w2]  #175  0-1     Party has no legal response          38 plies    1.8s  (156/2000)
  [w1]  #162  1-0     Treasure checkmated or captured     141 plies    6.3s  (157/2000)
  [w3]  #144  1-0     Treasure checkmated or captured     371 plies   16.0s  (158/2000)
  [w0]  #149  0-1     Party extinct                       150 plies    6.6s  (159/2000)
  [w0]  #153  0-1     Party has no legal response          48 plies    2.3s  (160/2000)
  [w2]  #179  1-0     Treasure checkmated or captured     287 plies   12.5s  (161/2000)
  [w3]  #148  0-1     Party extinct                       196 plies    8.5s  (162/2000)
  [w1]  #166  1-0     Treasure checkmated or captured     201 plies    8.8s  (163/2000)
  [w0]  #157  1-0     Treasure checkmated or captured     189 plies    8.3s  (164/2000)
  [w3]  #152  0-1     Party extinct                       110 plies    4.9s  (165/2000)
  [w1]  #170  0-1     Party extinct                       280 plies   12.2s  (166/2000)
  [w2]  #183  1-0     Treasure checkmated or captured     305 plies   13.1s  (167/2000)
  [w0]  #161  1-0     Treasure checkmated or captured     231 plies   10.0s  (168/2000)
  [w3]  #156  1-0     Treasure checkmated or captured     277 plies   12.2s  (169/2000)
  [w1]  #174  0-1     Party extinct                       228 plies    9.9s  (170/2000)
  [w0]  #165  0-1     Party extinct                       238 plies   10.3s  (171/2000)
  [w3]  #160  1-0     Treasure checkmated or captured     209 plies    9.1s  (172/2000)
  [w1]  #178  0-1     Party extinct                       196 plies    8.7s  (173/2000)
  [w0]  #169  1-0     Treasure checkmated or captured     179 plies    7.9s  (174/2000)
  [w3]  #164  0-1     Party extinct                       232 plies   10.1s  (175/2000)
  [w2]  #187  *       ply cap (600)                       600 plies   25.5s  (176/2000)
  [w3]  #168  1-0     Treasure checkmated or captured     147 plies    6.6s  (177/2000)
  [w1]  #182  0-1     Party extinct                       282 plies   12.2s  (178/2000)
  [w1]  #186  0-1     Party has no legal response          60 plies    2.8s  (179/2000)
  [w1]  #190  1-0     Treasure checkmated or captured      43 plies    2.1s  (180/2000)
  [w3]  #172  0-1     Party extinct                       254 plies   11.3s  (181/2000)
  [w1]  #194  1-0     Treasure checkmated or captured     201 plies    9.1s  (182/2000)
  [w0]  #173  *       ply cap (600)                       600 plies   25.6s  (183/2000)
  [w1]  #198  0-1     Party extinct                       112 plies    5.0s  (184/2000)
  [w2]  #191  *       ply cap (600)                       600 plies   25.5s  (185/2000)
  [w3]  #176  1-0     Treasure checkmated or captured     249 plies   11.0s  (186/2000)
  [w1]  #202  1-0     Treasure checkmated or captured     253 plies   11.0s  (187/2000)
  [w3]  #180  0-1     Party extinct                       264 plies   11.7s  (188/2000)
  [w2]  #195  1-0     Treasure checkmated or captured     313 plies   13.5s  (189/2000)
  [w1]  #206  1-0     Treasure checkmated or captured      87 plies    4.3s  (190/2000)
  [w3]  #184  0-1     Party extinct                        76 plies    3.5s  (191/2000)
  [w0]  #177  *       ply cap (600)                       600 plies   25.6s  (192/2000)
  [w1]  #210  1-0     Treasure checkmated or captured     139 plies    6.1s  (193/2000)
  [w3]  #188  0-1     Party extinct                       158 plies    7.0s  (194/2000)
  [w1]  #214  1-0     Treasure checkmated or captured     175 plies    7.7s  (195/2000)
  [w2]  #199  1-0     Treasure checkmated or captured     327 plies   14.1s  (196/2000)
  [w0]  #181  1-0     Treasure checkmated or captured     335 plies   14.5s  (197/2000)
  [w1]  #218  0-1     Party extinct                       264 plies   11.5s  (198/2000)
  [w3]  #192  1-0     Treasure checkmated or captured     397 plies   17.1s  (199/2000)
  [w1]  #222  1-0     Treasure checkmated or captured      67 plies    3.1s  (200/2000)
  [w2]  #203  1-0     Treasure checkmated or captured     347 plies   14.9s  (201/2000)
  [w0]  #185  1-0     Treasure checkmated or captured     315 plies   13.8s  (202/2000)
  [w2]  #207  1-0     Treasure checkmated or captured     127 plies    5.7s  (203/2000)
  [w3]  #196  0-1     Party extinct                       174 plies    7.6s  (204/2000)
  [w1]  #226  0-1     Party extinct                       186 plies    8.3s  (205/2000)
  [w2]  #211  1-0     Treasure checkmated or captured     161 plies    7.1s  (206/2000)
  [w3]  #200  0-1     Party extinct                       168 plies    7.3s  (207/2000)
  [w0]  #189  0-1     Party extinct                       186 plies    8.1s  (208/2000)
  [w1]  #230  0-1     Party extinct                       222 plies    9.7s  (209/2000)
  [w0]  #193  0-1     Party extinct                       114 plies    5.1s  (210/2000)
  [w2]  #215  0-1     Party extinct                       214 plies    9.3s  (211/2000)
  [w1]  #234  0-1     Party extinct                       122 plies    5.4s  (212/2000)
  [w0]  #197  0-1     Party extinct                       170 plies    7.4s  (213/2000)
  [w1]  #238  1-0     Treasure checkmated or captured     115 plies    5.5s  (214/2000)
  [w1]  #242  1-0     Treasure checkmated or captured     187 plies    8.4s  (215/2000)
  [w3]  #204  *       ply cap (600)                       600 plies   25.5s  (216/2000)
  [w1]  #246  1-0     Treasure checkmated or captured     197 plies    9.1s  (217/2000)
  [w2]  #219  *       ply cap (600)                       600 plies   25.5s  (218/2000)
  [w3]  #208  1-0     Treasure checkmated or captured     215 plies    9.9s  (219/2000)
  [w1]  #250  0-1     Party extinct                        98 plies    4.5s  (220/2000)
  [w0]  #201  *       ply cap (600)                       600 plies   25.7s  (221/2000)
  [w1]  #254  0-1     Party extinct                       108 plies    4.8s  (222/2000)
  [w2]  #223  1-0     Treasure checkmated or captured     237 plies   10.4s  (223/2000)
  [w3]  #212  0-1     Party extinct                       246 plies   10.8s  (224/2000)
  [w3]  #216  0-1     Party has no legal response          90 plies    4.1s  (225/2000)
  [w2]  #227  1-0     Treasure checkmated or captured     173 plies    7.6s  (226/2000)
  [w1]  #258  0-1     Party extinct                       268 plies   11.5s  (227/2000)
  [w0]  #205  1-0     Treasure checkmated or captured     353 plies   15.3s  (228/2000)
  [w1]  #262  0-1     Party extinct                       170 plies    7.6s  (229/2000)
  [w3]  #220  0-1     Party extinct                       256 plies   11.2s  (230/2000)
  [w2]  #231  0-1     Party extinct                       242 plies   10.7s  (231/2000)
  [w0]  #209  0-1     Party extinct                       220 plies    9.5s  (232/2000)
  [w3]  #224  0-1     Party extinct                       136 plies    6.0s  (233/2000)
  [w1]  #266  1-0     Treasure checkmated or captured     151 plies    6.7s  (234/2000)
  [w0]  #213  1-0     Treasure checkmated or captured     151 plies    6.7s  (235/2000)
  [w2]  #235  1-0     Treasure checkmated or captured     233 plies   10.2s  (236/2000)
  [w0]  #217  0-1     Party has no legal response          94 plies    4.4s  (237/2000)
  [w1]  #270  1-0     Treasure checkmated or captured     161 plies    7.1s  (238/2000)
  [w1]  #274  0-1     Party has no legal response          44 plies    2.2s  (239/2000)
  [w3]  #228  0-1     Party extinct                       232 plies   10.1s  (240/2000)
  [w2]  #239  1-0     Treasure checkmated or captured     143 plies    6.4s  (241/2000)
  [w1]  #278  0-1     Party extinct                       192 plies    8.4s  (242/2000)
  [w2]  #243  0-1     Party extinct                       180 plies    7.8s  (243/2000)
  [w0]  #221  0-1     Party extinct                       324 plies   14.0s  (244/2000)
  [w3]  #232  1-0     Treasure checkmated or captured     311 plies   13.4s  (245/2000)
  [w2]  #247  0-1     Party extinct                       178 plies    7.7s  (246/2000)
  [w3]  #236  0-1     Party extinct                       172 plies    7.5s  (247/2000)
