Match: rule-set 'v1.1-baseline'  games=500  depth=8  max-plies=600  openings=500x6plies  seed=20260424  parallel=4
  [w1]  #190  1-0     Treasure checkmated or captured     157 plies    6.9s  (198/500)
  [w3]  #208  0-1     Party extinct                       160 plies    7.0s  (199/500)
  [w0]  #197  1-0     Treasure checkmated or captured     165 plies    7.2s  (200/500)
  [w1]  #194  0-1     Party has no legal response         106 plies    4.8s  (201/500)
  [w2]  #203  1-0     Treasure checkmated or captured     211 plies    9.3s  (202/500)
  [w3]  #212  0-1     Party extinct                       146 plies    6.4s  (203/500)
  [w0]  #201  0-1     Party extinct                       296 plies   12.8s  (204/500)
  [w2]  #207  0-1     Party extinct                       330 plies   14.1s  (205/500)
  [w0]  #205  1-0     Treasure checkmated or captured     143 plies    6.4s  (206/500)
  [w2]  #211  1-0     Treasure checkmated or captured     195 plies    8.6s  (207/500)
  [w1]  #198  *       ply cap (600)                       600 plies   25.5s  (208/500)
  [w1]  #202  0-1     Party has no legal response          88 plies    4.0s  (209/500)
  [w3]  #216  *       ply cap (600)                       600 plies   25.8s  (210/500)
  [w0]  #209  0-1     Party extinct                       300 plies   12.9s  (211/500)
  [w3]  #220  1-0     Treasure checkmated or captured     179 plies    7.9s  (212/500)
  [w1]  #206  1-0     Treasure checkmated or captured     221 plies    9.6s  (213/500)
  [w0]  #213  1-0     Treasure checkmated or captured     207 plies    9.0s  (214/500)
  [w3]  #224  1-0     Treasure checkmated or captured     231 plies   10.0s  (215/500)
  [w1]  #210  1-0     Treasure checkmated or captured     245 plies   10.7s  (216/500)
  [w0]  #217  0-1     Party extinct                       236 plies   10.2s  (217/500)
  [w2]  #215  *       ply cap (600)                       600 plies   25.4s  (218/500)
  [w3]  #228  0-1     Party extinct                       254 plies   11.0s  (219/500)
  [w2]  #219  0-1     Party extinct                       250 plies   11.0s  (220/500)
  [w1]  #214  0-1     Party extinct                       376 plies   16.1s  (221/500)
  [w1]  #218  1-0     Treasure checkmated or captured       5 plies    0.5s  (222/500)
  [w2]  #223  1-0     Treasure checkmated or captured     229 plies    9.9s  (223/500)
  [w3]  #232  0-1     Party extinct                       392 plies   17.0s  (224/500)
  [w0]  #221  *       ply cap (600)                       600 plies   25.6s  (225/500)
  [w1]  #222  1-0     Treasure checkmated or captured     263 plies   11.5s  (226/500)
  [w2]  #227  1-0     Treasure checkmated or captured     215 plies    9.3s  (227/500)
  [w0]  #225  0-1     Party extinct                       150 plies    6.6s  (228/500)
  [w1]  #226  0-1     Party extinct                       236 plies   10.3s  (229/500)
  [w2]  #231  1-0     Treasure checkmated or captured     183 plies    8.0s  (230/500)
  [w0]  #229  0-1     Party extinct                       158 plies    6.9s  (231/500)
  [w3]  #236  1-0     Treasure checkmated or captured     361 plies   15.4s  (232/500)
  [w1]  #230  1-0     Treasure checkmated or captured     123 plies    5.5s  (233/500)
  [w2]  #235  0-1     Party extinct                       200 plies    8.7s  (234/500)
  [w0]  #233  1-0     Treasure checkmated or captured     247 plies   10.8s  (235/500)
  [w1]  #234  1-0     Treasure checkmated or captured     207 plies    9.0s  (236/500)
  [w2]  #239  0-1     Party extinct                       144 plies    6.5s  (237/500)
  [w3]  #240  1-0     Treasure checkmated or captured     315 plies   13.5s  (238/500)
  [w2]  #243  0-1     Party extinct                       180 plies    7.9s  (239/500)
  [w0]  #237  0-1     Party extinct                       296 plies   12.8s  (240/500)
