Match: rule-set 'v6-d8-minion-6-striker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  [w0]  #153  *       ply cap (600)                       600 plies   25.5s  (165/300)
  [w1]  #182  0-1     Party extinct                       566 plies   24.0s  (166/300)
  [w3]  #176  1-0     Treasure checkmated or captured     359 plies   15.4s  (167/300)
  [w0]  #157  0-1     Party extinct                       200 plies    8.7s  (168/300)
  [w2]  #155  1-0     Treasure checkmated or captured     587 plies   24.9s  (169/300)
  [w0]  #161  0-1     Party extinct                       520 plies   22.2s  (170/300)
  [w1]  #186  *       ply cap (600)                       600 plies   25.5s  (171/300)
  [w3]  #180  *       ply cap (600)                       600 plies   25.5s  (172/300)
  [w2]  #159  *       ply cap (600)                       600 plies   25.5s  (173/300)
  [w3]  #184  0-1     Party extinct                       428 plies   18.3s  (174/300)
  [w1]  #190  0-1     Party extinct                       456 plies   19.5s  (175/300)
  [w2]  #163  1-0     Treasure checkmated or captured     365 plies   15.6s  (176/300)
  [w0]  #165  *       ply cap (600)                       600 plies   25.5s  (177/300)
  [w0]  #169  1-0     Treasure checkmated or captured     157 plies    6.9s  (178/300)
  [w1]  #194  1-0     Treasure checkmated or captured     353 plies   15.2s  (179/300)
  [w3]  #188  *       ply cap (600)                       600 plies   25.4s  (180/300)
  [w2]  #167  *       ply cap (600)                       600 plies   25.5s  (181/300)
  [w0]  #173  *       ply cap (600)                       600 plies   25.5s  (182/300)
  [w1]  #198  *       ply cap (600)                       600 plies   25.5s  (183/300)
  [w0]  #177  1-0     Treasure checkmated or captured     141 plies    6.2s  (184/300)
  [w3]  #192  *       ply cap (600)                       600 plies   25.5s  (185/300)
  [w2]  #171  *       ply cap (600)                       600 plies   25.5s  (186/300)
  [w1]  #202  *       ply cap (600)                       600 plies   25.5s  (187/300)
  [w0]  #181  *       ply cap (600)                       600 plies   25.5s  (188/300)
  [w3]  #196  0-1     Party extinct                       542 plies   23.1s  (189/300)
  [w0]  #185  0-1     Party extinct                       164 plies    7.3s  (190/300)
  [w2]  #175  *       ply cap (600)                       600 plies   25.5s  (191/300)
  [w0]  #189  0-1     Party extinct                       244 plies   10.6s  (192/300)
  [w1]  #206  *       ply cap (600)                       600 plies   25.6s  (193/300)
  [w2]  #179  1-0     Treasure checkmated or captured     423 plies   18.1s  (194/300)
  [w3]  #200  *       ply cap (600)                       600 plies   25.6s  (195/300)
  [w3]  #204  0-1     Party has no legal response          62 plies    2.9s  (196/300)
  [w1]  #210  0-1     Party extinct                       298 plies   12.8s  (197/300)
  [w0]  #193  *       ply cap (600)                       600 plies   25.5s  (198/300)
  [w2]  #183  *       ply cap (600)                       600 plies   25.5s  (199/300)
  [w3]  #208  *       ply cap (600)                       600 plies   25.5s  (200/300)
  [w1]  #214  *       ply cap (600)                       600 plies   25.5s  (201/300)
  [w0]  #197  *       ply cap (600)                       600 plies   25.5s  (202/300)
  [w2]  #187  *       ply cap (600)                       600 plies   25.5s  (203/300)
  [w3]  #212  *       ply cap (600)                       600 plies   25.5s  (204/300)
  [w1]  #218  *       ply cap (600)                       600 plies   25.4s  (205/300)
  [w0]  #201  *       ply cap (600)                       600 plies   25.5s  (206/300)
  [w2]  #191  *       ply cap (600)                       600 plies   25.5s  (207/300)
  [w3]  #216  *       ply cap (600)                       600 plies   25.5s  (208/300)
  [w1]  #222  0-1     Party extinct                       540 plies   23.0s  (209/300)
  [w0]  #205  *       ply cap (600)                       600 plies   25.6s  (210/300)
  [w2]  #195  *       ply cap (600)                       600 plies   25.5s  (211/300)
  [w1]  #226  1-0     Treasure checkmated or captured     529 plies   22.5s  (212/300)
  [w3]  #220  *       ply cap (600)                       600 plies   25.6s  (213/300)
  [w0]  #209  *       ply cap (600)                       600 plies   25.5s  (214/300)
  [w2]  #199  *       ply cap (600)                       600 plies   25.5s  (215/300)
  [w1]  #230  *       ply cap (600)                       600 plies   25.5s  (216/300)
  [w3]  #224  *       ply cap (600)                       600 plies   25.6s  (217/300)
  [w0]  #213  *       ply cap (600)                       600 plies   25.5s  (218/300)
  [w1]  #234  0-1     Party extinct                       312 plies   13.4s  (219/300)
  [w2]  #203  *       ply cap (600)                       600 plies   25.5s  (220/300)
  [w1]  #238  0-1     Party extinct                       330 plies   14.2s  (221/300)
  [w3]  #228  *       ply cap (600)                       600 plies   25.5s  (222/300)
  [w0]  #217  *       ply cap (600)                       600 plies   25.5s  (223/300)
  [w1]  #242  0-1     Party extinct                       380 plies   16.2s  (224/300)
  [w2]  #207  *       ply cap (600)                       600 plies   25.5s  (225/300)
  [w3]  #232  *       ply cap (600)                       600 plies   25.5s  (226/300)
  [w3]  #236  1-0     Treasure checkmated or captured      43 plies    2.1s  (227/300)
  [w0]  #221  *       ply cap (600)                       600 plies   25.5s  (228/300)
  [w1]  #246  *       ply cap (600)                       600 plies   25.5s  (229/300)
  [w2]  #211  *       ply cap (600)                       600 plies   25.5s  (230/300)
  [w3]  #240  *       ply cap (600)                       600 plies   25.5s  (231/300)
  [w1]  #250  0-1     Party extinct                       456 plies   19.5s  (232/300)
  [w0]  #225  *       ply cap (600)                       600 plies   25.5s  (233/300)
  [w2]  #215  *       ply cap (600)                       600 plies   25.5s  (234/300)
  [w0]  #229  0-1     Party extinct                       310 plies   13.4s  (235/300)
  [w3]  #244  *       ply cap (600)                       600 plies   25.5s  (236/300)
  [w1]  #254  *       ply cap (600)                       600 plies   25.5s  (237/300)
  [w2]  #219  0-1     Party extinct                       478 plies   20.4s  (238/300)
  [w0]  #233  0-1     Party extinct                       510 plies   21.7s  (239/300)
