Match: rule-set 'v6-d8-minion-placement-j7-only'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v6-d8-minion-placement-j7-only-66686-4bee248b3b8f4616b88b2962659fbddf.ini
  startFen : 4abtba3/2mubmbu1m2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w1]  #162  *       ply cap (600)                       600 plies   25.5s  (172/300)
  [w2]  #187  0-1     Party extinct                       156 plies    6.8s  (173/300)
  [w0]  #173  *       ply cap (600)                       600 plies   25.5s  (174/300)
  [w2]  #191  0-1     Party extinct                       244 plies   10.6s  (175/300)
  [w3]  #172  *       ply cap (600)                       600 plies   25.5s  (176/300)
  [w1]  #166  0-1     Party extinct                       546 plies   23.2s  (177/300)
  [w0]  #177  0-1     Party extinct                       490 plies   20.9s  (178/300)
  [w3]  #176  1-0     Treasure checkmated or captured     193 plies    8.4s  (179/300)
  [w0]  #181  0-1     Party extinct                       212 plies    9.2s  (180/300)
  [w2]  #195  *       ply cap (600)                       600 plies   25.5s  (181/300)
  [w0]  #185  1-0     Treasure checkmated or captured     111 plies    5.0s  (182/300)
  [w1]  #170  *       ply cap (600)                       600 plies   25.5s  (183/300)
  [w3]  #180  *       ply cap (600)                       600 plies   25.5s  (184/300)
  [w1]  #174  0-1     Party extinct                       274 plies   11.9s  (185/300)
  [w2]  #199  *       ply cap (600)                       600 plies   25.5s  (186/300)
  [w2]  #203  1-0     Treasure checkmated or captured       7 plies    0.6s  (187/300)
  [w0]  #189  *       ply cap (600)                       600 plies   25.5s  (188/300)
  [w3]  #184  0-1     Party extinct                       402 plies   17.2s  (189/300)
  [w1]  #178  *       ply cap (600)                       600 plies   25.5s  (190/300)
  [w2]  #207  *       ply cap (600)                       600 plies   25.6s  (191/300)
  [w0]  #193  *       ply cap (600)                       600 plies   25.5s  (192/300)
  [w3]  #188  *       ply cap (600)                       600 plies   25.6s  (193/300)
  [w2]  #211  0-1     Party extinct                       508 plies   21.7s  (194/300)
  [w1]  #182  *       ply cap (600)                       600 plies   25.5s  (195/300)
  [w0]  #197  0-1     Party extinct                       592 plies   25.2s  (196/300)
  [w1]  #186  0-1     Party has no legal response         134 plies    5.9s  (197/300)
  [w3]  #192  *       ply cap (600)                       600 plies   25.6s  (198/300)
  [w2]  #215  0-1     Party extinct                       564 plies   24.0s  (199/300)
  [w2]  #219  0-1     Party extinct                       148 plies    6.5s  (200/300)
  [w0]  #201  *       ply cap (600)                       600 plies   25.6s  (201/300)
  [w3]  #196  0-1     Party extinct                       432 plies   18.5s  (202/300)
  [w1]  #190  *       ply cap (600)                       600 plies   25.5s  (203/300)
  [w2]  #223  0-1     Party extinct                       122 plies    5.5s  (204/300)
  [w3]  #200  0-1     Party extinct                       248 plies   10.7s  (205/300)
  [w0]  #205  *       ply cap (600)                       600 plies   25.5s  (206/300)
  [w1]  #194  *       ply cap (600)                       600 plies   25.5s  (207/300)
  [w2]  #227  *       ply cap (600)                       600 plies   25.5s  (208/300)
  [w3]  #204  *       ply cap (600)                       600 plies   25.5s  (209/300)
  [w1]  #198  0-1     Party extinct                       380 plies   16.3s  (210/300)
  [w3]  #208  0-1     Party extinct                       258 plies   11.2s  (211/300)
  [w0]  #209  0-1     Party extinct                       584 plies   24.9s  (212/300)
  [w2]  #231  *       ply cap (600)                       600 plies   25.5s  (213/300)
  [w0]  #213  0-1     Party extinct                       194 plies    8.5s  (214/300)
  [w1]  #202  *       ply cap (600)                       600 plies   25.6s  (215/300)
  [w3]  #212  0-1     Party extinct                       562 plies   24.1s  (216/300)
  [w1]  #206  0-1     Party extinct                       244 plies   10.6s  (217/300)
  [w0]  #217  0-1     Party extinct                       490 plies   20.9s  (218/300)
  [w2]  #235  *       ply cap (600)                       600 plies   25.5s  (219/300)
  [w0]  #221  0-1     Party extinct                       382 plies   16.4s  (220/300)
  [w3]  #216  *       ply cap (600)                       600 plies   25.5s  (221/300)
  [w1]  #210  *       ply cap (600)                       600 plies   25.5s  (222/300)
  [w2]  #239  *       ply cap (600)                       600 plies   25.5s  (223/300)
  [w1]  #214  0-1     Party extinct                       150 plies    6.7s  (224/300)
  [w3]  #220  1-0     Treasure checkmated or captured     359 plies   15.4s  (225/300)
  [w0]  #225  0-1     Party extinct                       568 plies   24.2s  (226/300)
  [w3]  #224  0-1     Party extinct                       212 plies    9.2s  (227/300)
  [w2]  #243  *       ply cap (600)                       600 plies   25.4s  (228/300)
  [w1]  #218  *       ply cap (600)                       600 plies   25.5s  (229/300)
  [w0]  #229  1-0     Treasure checkmated or captured     539 plies   23.0s  (230/300)
  [w3]  #228  *       ply cap (600)                       600 plies   25.5s  (231/300)
  [w2]  #247  0-1     Party extinct                       442 plies   18.9s  (232/300)
  [w0]  #233  0-1     Party extinct                       224 plies    9.7s  (233/300)
  [w1]  #222  0-1     Party extinct                       562 plies   23.9s  (234/300)
  [w3]  #232  0-1     Party extinct                       412 plies   17.6s  (235/300)
  [w2]  #251  0-1     Party extinct                       514 plies   21.9s  (236/300)
  [w1]  #226  1-0     Treasure checkmated or captured     415 plies   17.9s  (237/300)
  [w0]  #237  *       ply cap (600)                       600 plies   25.5s  (238/300)
  [w0]  #241  0-1     Party extinct                       164 plies    7.2s  (239/300)
  [w3]  #236  0-1     Party extinct                       570 plies   24.3s  (240/300)
  [w2]  #255  *       ply cap (600)                       600 plies   25.5s  (241/300)
  [w1]  #230  *       ply cap (600)                       600 plies   25.5s  (242/300)
  [w3]  #240  0-1     Party extinct                       396 plies   16.9s  (243/300)
  [w0]  #245  *       ply cap (600)                       600 plies   25.5s  (244/300)
  [w3]  #244  0-1     Party extinct                       154 plies    6.8s  (245/300)
  [w3]  #248  0-1     Party extinct                       126 plies    5.6s  (246/300)
  [w2]  #259  *       ply cap (600)                       600 plies   25.5s  (247/300)
  [w1]  #234  0-1     Party extinct                       498 plies   21.2s  (248/300)
  [w3]  #252  1-0     Treasure checkmated or captured     243 plies   10.5s  (249/300)
  [w0]  #249  *       ply cap (600)                       600 plies   25.5s  (250/300)
  [w2]  #263  1-0     Treasure checkmated or captured     317 plies   13.7s  (251/300)
  [w0]  #253  0-1     Party extinct                       266 plies   11.7s  (252/300)
  [w1]  #238  *       ply cap (600)                       600 plies   25.5s  (253/300)
  [w0]  #257  0-1     Party extinct                       114 plies    5.1s  (254/300)
  [w3]  #256  *       ply cap (600)                       600 plies   25.5s  (255/300)
  [w3]  #260  0-1     Party extinct                       108 plies    4.9s  (256/300)
  [w2]  #267  0-1     Party extinct                       510 plies   21.8s  (257/300)
  [w1]  #242  0-1     Party extinct                       262 plies   11.5s  (258/300)
  [w0]  #261  *       ply cap (600)                       600 plies   25.6s  (259/300)
  [w3]  #264  0-1     Party extinct                       574 plies   24.7s  (260/300)
  [w2]  #271  *       ply cap (600)                       600 plies   25.7s  (261/300)
  [w1]  #246  *       ply cap (600)                       600 plies   25.5s  (262/300)
  [w0]  #265  0-1     Party extinct                       262 plies   11.3s  (263/300)
  [w3]  #268  0-1     Party extinct                       300 plies   12.9s  (264/300)
  [w2]  #275  *       ply cap (600)                       600 plies   25.5s  (265/300)
  [w1]  #250  *       ply cap (600)                       600 plies   25.5s  (266/300)
  [w2]  #279  1-0     Treasure checkmated or captured     115 plies    5.1s  (267/300)
  [w0]  #269  *       ply cap (600)                       600 plies   25.4s  (268/300)
  [w1]  #254  0-1     Party has no legal response         130 plies    5.8s  (269/300)
  [w3]  #272  *       ply cap (600)                       600 plies   25.6s  (270/300)
  [w2]  #283  0-1     Party extinct                       278 plies   12.0s  (271/300)
  [w2]  #287  0-1     Party extinct                       182 plies    8.0s  (272/300)
  [w3]  #276  0-1     Party extinct                       318 plies   13.7s  (273/300)
  [w0]  #273  *       ply cap (600)                       600 plies   25.5s  (274/300)
  [w1]  #258  *       ply cap (600)                       600 plies   25.5s  (275/300)
  [w2]  #291  0-1     Party extinct                       390 plies   16.7s  (276/300)
  [w0]  #277  0-1     Party extinct                       410 plies   17.5s  (277/300)
  [w1]  #262  0-1     Party extinct                       388 plies   16.6s  (278/300)
  [w3]  #280  *       ply cap (600)                       600 plies   25.5s  (279/300)
  [w1]  #266  0-1     Party extinct                       250 plies   10.9s  (280/300)
  [w2]  #295  *       ply cap (600)                       600 plies   25.6s  (281/300)
  [w0]  #281  *       ply cap (600)                       600 plies   25.6s  (282/300)
  [w3]  #284  *       ply cap (600)                       600 plies   25.6s  (283/300)
  [w1]  #270  *       ply cap (600)                       600 plies   25.5s  (284/300)
  [w3]  #288  1-0     Treasure checkmated or captured     277 plies   12.0s  (285/300)
  [w2]  #299  0-1     Party extinct                       506 plies   21.6s  (286/300)
  [w0]  #285  *       ply cap (600)                       600 plies   25.5s  (287/300)
  [w0]  #289  1-0     Treasure checkmated or captured     279 plies   12.1s  (288/300)
  [w1]  #274  *       ply cap (600)                       600 plies   25.5s  (289/300)
  [w3]  #292  *       ply cap (600)                       600 plies   25.6s  (290/300)
  [w1]  #278  0-1     Party extinct                       140 plies    6.2s  (291/300)
  [w0]  #293  *       ply cap (600)                       600 plies   25.5s  (292/300)
  [w1]  #282  0-1     Party extinct                       458 plies   19.6s  (293/300)
  [w3]  #296  *       ply cap (600)                       600 plies   25.5s  (294/300)
  [w0]  #297  1-0     Treasure checkmated or captured     171 plies    7.5s  (295/300)
  [w1]  #286  0-1     Party extinct                       212 plies    9.3s  (296/300)
  [w1]  #290  1-0     Treasure checkmated or captured     249 plies   10.8s  (297/300)
  [w3]  #300  1-0     Treasure checkmated or captured     453 plies   19.4s  (298/300)
  [w1]  #294  0-1     Party extinct                       500 plies   21.4s  (299/300)
  [w1]  #298  *       ply cap (600)                       600 plies   25.7s  (300/300)

========================================================
  Rule set    : v6-d8-minion-placement-j7-only
  Games       : 300
--------------------------------------------------------
  Party wins  :   34  ( 11.3%)
  Horde wins  :  129  ( 43.0%)
  Unfinished  :  137  ( 45.7%)
--------------------------------------------------------
  Decisive      :  54.3%
  Party(decisive):  20.9%   95% CI [ 15.3% ..  27.7%]
  Imbalance     :  58.3%   (0% = perfectly balanced decisive games)
  Median plies  : 314  (decisive games)

  COMPOSITE SCORE : 0.227   (1.0 = balanced & decisive)
========================================================
  total time : 1564.7s  (5.22s / game, 4x)
  pgn        : reports/v6-overnight/match-v6-d8-minion-placement-j7-only.pgn
