Match: rule-set 'v6-d8-minion-6-shortcap'  games=300  depth=8  max-plies=400  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v6-d8-minion-6-shortcap-66686-a95843f14944435aa272f3e0cd659660.ini
  startFen : 4abtba3/2mubmbu4/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w3]  #180  *       ply cap (400)                       400 plies   17.1s  (154/300)
  [w1]  #154  *       ply cap (400)                       400 plies   17.1s  (155/300)
  [w0]  #121  *       ply cap (400)                       400 plies   17.1s  (156/300)
  [w1]  #158  0-1     Party extinct                        72 plies    3.3s  (157/300)
  [w2]  #167  0-1     Party extinct                       272 plies   11.7s  (158/300)
  [w3]  #184  1-0     Treasure checkmated or captured     193 plies    8.5s  (159/300)
  [w3]  #188  1-0     Treasure checkmated or captured     129 plies    5.8s  (160/300)
  [w0]  #125  *       ply cap (400)                       400 plies   17.0s  (161/300)
  [w1]  #162  *       ply cap (400)                       400 plies   17.1s  (162/300)
  [w2]  #171  *       ply cap (400)                       400 plies   17.1s  (163/300)
  [w3]  #192  *       ply cap (400)                       400 plies   17.1s  (164/300)
  [w0]  #129  *       ply cap (400)                       400 plies   17.1s  (165/300)
  [w1]  #166  *       ply cap (400)                       400 plies   17.1s  (166/300)
  [w0]  #133  0-1     Party has no legal response          78 plies    3.6s  (167/300)
  [w2]  #175  *       ply cap (400)                       400 plies   17.1s  (168/300)
  [w3]  #196  1-0     Treasure checkmated or captured     249 plies   10.7s  (169/300)
  [w1]  #170  0-1     Party extinct                       274 plies   11.8s  (170/300)
  [w1]  #174  1-0     Treasure checkmated or captured     103 plies    4.6s  (171/300)
  [w2]  #179  0-1     Party extinct                       370 plies   15.9s  (172/300)
  [w0]  #137  *       ply cap (400)                       400 plies   17.1s  (173/300)
  [w3]  #200  *       ply cap (400)                       400 plies   17.1s  (174/300)
  [w1]  #178  1-0     Treasure checkmated or captured      87 plies    4.0s  (175/300)
  [w0]  #141  1-0     Treasure checkmated or captured     107 plies    4.8s  (176/300)
  [w3]  #204  0-1     Party extinct                       220 plies    9.6s  (177/300)
  [w2]  #183  *       ply cap (400)                       400 plies   17.1s  (178/300)
  [w1]  #182  *       ply cap (400)                       400 plies   17.1s  (179/300)
  [w0]  #145  *       ply cap (400)                       400 plies   17.1s  (180/300)
  [w3]  #208  *       ply cap (400)                       400 plies   17.1s  (181/300)
  [w2]  #187  0-1     Party extinct                       304 plies   13.1s  (182/300)
  [w1]  #186  *       ply cap (400)                       400 plies   17.2s  (183/300)
  [w0]  #149  *       ply cap (400)                       400 plies   17.1s  (184/300)
  [w3]  #212  1-0     Treasure checkmated or captured     327 plies   14.1s  (185/300)
  [w0]  #153  0-1     Party extinct                       158 plies    7.0s  (186/300)
  [w2]  #191  *       ply cap (400)                       400 plies   17.1s  (187/300)
  [w3]  #216  0-1     Party extinct                       130 plies    5.8s  (188/300)
  [w1]  #190  *       ply cap (400)                       400 plies   17.1s  (189/300)
  [w2]  #195  0-1     Party extinct                       386 plies   16.5s  (190/300)
  [w0]  #157  1-0     Treasure checkmated or captured     397 plies   17.0s  (191/300)
  [w1]  #194  0-1     Party extinct                       230 plies   10.0s  (192/300)
  [w3]  #220  *       ply cap (400)                       400 plies   17.1s  (193/300)
  [w1]  #198  1-0     Treasure checkmated or captured     125 plies    5.5s  (194/300)
  [w0]  #161  0-1     Party extinct                       376 plies   16.1s  (195/300)
  [w2]  #199  *       ply cap (400)                       400 plies   17.1s  (196/300)
  [w3]  #224  *       ply cap (400)                       400 plies   17.1s  (197/300)
  [w3]  #228  1-0     Treasure checkmated or captured      77 plies    3.5s  (198/300)
  [w1]  #202  *       ply cap (400)                       400 plies   17.1s  (199/300)
  [w2]  #203  1-0     Treasure checkmated or captured     169 plies    7.4s  (200/300)
  [w2]  #207  1-0     Treasure checkmated or captured     193 plies    8.4s  (201/300)
  [w0]  #165  *       ply cap (400)                       400 plies   17.0s  (202/300)
  [w2]  #211  1-0     Treasure checkmated or captured     129 plies    5.7s  (203/300)
  [w3]  #232  *       ply cap (400)                       400 plies   17.1s  (204/300)
  [w1]  #206  *       ply cap (400)                       400 plies   17.0s  (205/300)
  [w0]  #169  1-0     Treasure checkmated or captured     161 plies    7.1s  (206/300)
  [w2]  #215  *       ply cap (400)                       400 plies   17.1s  (207/300)
  [w3]  #236  *       ply cap (400)                       400 plies   17.1s  (208/300)
  [w1]  #210  *       ply cap (400)                       400 plies   17.1s  (209/300)
  [w0]  #173  *       ply cap (400)                       400 plies   17.1s  (210/300)
  [w2]  #219  1-0     Treasure checkmated or captured     277 plies   12.0s  (211/300)
  [w3]  #240  *       ply cap (400)                       400 plies   17.1s  (212/300)
  [w1]  #214  *       ply cap (400)                       400 plies   17.1s  (213/300)
  [w0]  #177  *       ply cap (400)                       400 plies   17.1s  (214/300)
  [w3]  #244  0-1     Party extinct                       254 plies   11.0s  (215/300)
  [w2]  #223  *       ply cap (400)                       400 plies   17.3s  (216/300)
  [w2]  #227  0-1     Party extinct                       138 plies    6.1s  (217/300)
  [w1]  #218  *       ply cap (400)                       400 plies   17.1s  (218/300)
  [w0]  #181  *       ply cap (400)                       400 plies   17.1s  (219/300)
  [w0]  #185  1-0     Treasure checkmated or captured     115 plies    5.1s  (220/300)
  [w3]  #248  *       ply cap (400)                       400 plies   17.1s  (221/300)
  [w2]  #231  *       ply cap (400)                       400 plies   17.1s  (222/300)
  [w1]  #222  *       ply cap (400)                       400 plies   17.0s  (223/300)
  [w0]  #189  0-1     Party extinct                       328 plies   14.1s  (224/300)
  [w2]  #235  0-1     Party extinct                       120 plies    5.4s  (225/300)
  [w3]  #252  *       ply cap (400)                       400 plies   17.3s  (226/300)
  [w1]  #226  *       ply cap (400)                       400 plies   17.5s  (227/300)
  [w0]  #193  *       ply cap (400)                       400 plies   17.6s  (228/300)
  [w3]  #256  0-1     Party extinct                       260 plies   11.7s  (229/300)
  [w2]  #239  *       ply cap (400)                       400 plies   17.7s  (230/300)
  [w0]  #197  1-0     Treasure checkmated or captured     153 plies    7.1s  (231/300)
  [w1]  #230  *       ply cap (400)                       400 plies   17.8s  (232/300)
