Match: rule-set 'v7-d8-spsa-base-best'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260426  parallel=4
  [w2]  #119  0-1     Party extinct                       144 plies    6.4s  (111/300)
  [w0]  #105  1-0     Treasure checkmated or captured     189 plies    8.3s  (112/300)
  [w3]  #124  0-1     Party extinct                       146 plies    6.4s  (113/300)
  [w2]  #123  0-1     Party extinct                        68 plies    3.2s  (114/300)
  [w2]  #127  1-0     Treasure checkmated or captured     101 plies    4.6s  (115/300)
  [w1]  #102  0-1     Party extinct                       288 plies   12.4s  (116/300)
  [w0]  #109  1-0     Treasure checkmated or captured     211 plies    9.2s  (117/300)
  [w2]  #131  1-0     Treasure checkmated or captured     131 plies    5.9s  (118/300)
  [w1]  #106  1-0     Treasure checkmated or captured     125 plies    5.6s  (119/300)
  [w3]  #128  0-1     Party extinct                       340 plies   14.6s  (120/300)
  [w0]  #113  0-1     Party extinct                       190 plies    8.3s  (121/300)
  [w2]  #135  1-0     Treasure checkmated or captured     163 plies    7.2s  (122/300)
  [w1]  #110  1-0     Treasure checkmated or captured     247 plies   10.7s  (123/300)
  [w2]  #139  0-1     Party extinct                       172 plies    7.6s  (124/300)
  [w0]  #117  1-0     Treasure checkmated or captured     369 plies   15.8s  (125/300)
  [w2]  #143  0-1     Party extinct                       182 plies    8.0s  (126/300)
  [w0]  #121  1-0     Treasure checkmated or captured      95 plies    4.3s  (127/300)
  [w1]  #114  0-1     Party extinct                       368 plies   15.8s  (128/300)
  [w3]  #132  *       ply cap (600)                       600 plies   25.5s  (129/300)
  [w0]  #125  1-0     Treasure checkmated or captured     155 plies    6.8s  (130/300)
  [w2]  #147  0-1     Party extinct                       210 plies    9.2s  (131/300)
  [w2]  #151  0-1     Party has no legal response         108 plies    4.9s  (132/300)
  [w1]  #118  0-1     Party extinct                       258 plies   11.2s  (133/300)
  [w0]  #129  0-1     Party extinct                       188 plies    8.2s  (134/300)
  [w3]  #136  0-1     Party extinct                       266 plies   11.5s  (135/300)
  [w2]  #155  0-1     Party has no legal response          68 plies    3.2s  (136/300)
  [w1]  #122  0-1     Party has no legal response         116 plies    5.2s  (137/300)
  [w2]  #159  1-0     Treasure checkmated or captured     167 plies    7.4s  (138/300)
  [w0]  #133  0-1     Party extinct                       222 plies    9.7s  (139/300)
  [w3]  #140  0-1     Party extinct                       260 plies   11.2s  (140/300)
  [w1]  #126  1-0     Treasure checkmated or captured     189 plies    8.3s  (141/300)
  [w2]  #163  0-1     Party extinct                       180 plies    7.9s  (142/300)
  [w0]  #137  0-1     Party extinct                       290 plies   12.5s  (143/300)
  [w2]  #167  0-1     Party extinct                       148 plies    6.5s  (144/300)
  [w1]  #130  0-1     Party extinct                       246 plies   10.6s  (145/300)
  [w3]  #144  0-1     Party extinct                       348 plies   15.0s  (146/300)
  [w1]  #134  1-0     Treasure checkmated or captured     225 plies    9.8s  (147/300)
  [w2]  #171  1-0     Treasure checkmated or captured     271 plies   11.7s  (148/300)
