Match: rule-set 'v7-d8-spsa-final-iterate'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260427  parallel=4
  [w0]  #109  0-1     Party extinct                       122 plies    5.4s  (104/300)
  [w1]  #126  1-0     Treasure checkmated or captured     181 plies    7.9s  (105/300)
  [w3]  #80   1-0     Treasure checkmated or captured     171 plies    7.5s  (106/300)
  [w0]  #113  0-1     Party extinct                       250 plies   10.8s  (107/300)
  [w1]  #130  1-0     Treasure checkmated or captured     243 plies   10.5s  (108/300)
  [w2]  #107  *       ply cap (600)                       600 plies   25.4s  (109/300)
  [w3]  #84   0-1     Party extinct                       252 plies   10.9s  (110/300)
  [w2]  #111  0-1     Party extinct                       160 plies    7.0s  (111/300)
  [w0]  #117  0-1     Party extinct                       244 plies   10.6s  (112/300)
  [w1]  #134  1-0     Treasure checkmated or captured     293 plies   12.6s  (113/300)
  [w2]  #115  0-1     Party extinct                        90 plies    4.1s  (114/300)
  [w0]  #121  1-0     Treasure checkmated or captured     125 plies    5.6s  (115/300)
  [w2]  #119  0-1     Party extinct                       248 plies   10.8s  (116/300)
  [w1]  #138  1-0     Treasure checkmated or captured     279 plies   12.1s  (117/300)
  [w3]  #88   *       ply cap (600)                       600 plies   25.5s  (118/300)
  [w1]  #142  0-1     Party extinct                       206 plies    9.0s  (119/300)
  [w0]  #125  *       ply cap (600)                       600 plies   25.5s  (120/300)
  [w3]  #92   0-1     Party extinct                       314 plies   13.6s  (121/300)
  [w1]  #146  0-1     Party extinct                       272 plies   11.8s  (122/300)
  [w2]  #123  *       ply cap (600)                       600 plies   25.5s  (123/300)
  [w2]  #127  1-0     Treasure checkmated or captured       7 plies    0.6s  (124/300)
  [w0]  #129  0-1     Party extinct                       278 plies   12.0s  (125/300)
  [w1]  #150  0-1     Party extinct                       166 plies    7.3s  (126/300)
  [w0]  #133  1-0     Treasure checkmated or captured     215 plies    9.3s  (127/300)
  [w1]  #154  0-1     Party extinct                       226 plies    9.8s  (128/300)
  [w2]  #131  1-0     Treasure checkmated or captured     303 plies   13.0s  (129/300)
  [w3]  #96   *       ply cap (600)                       600 plies   25.5s  (130/300)
  [w0]  #137  0-1     Party extinct                       248 plies   10.7s  (131/300)
  [w2]  #135  1-0     Treasure checkmated or captured     263 plies   11.4s  (132/300)
  [w0]  #141  0-1     Party extinct                       200 plies    8.7s  (133/300)
  [w3]  #100  0-1     Party extinct                       276 plies   11.9s  (134/300)
  [w1]  #158  *       ply cap (600)                       600 plies   25.5s  (135/300)
  [w0]  #145  0-1     Party extinct                       172 plies    7.6s  (136/300)
  [w3]  #104  1-0     Treasure checkmated or captured     241 plies   10.5s  (137/300)
  [w0]  #149  1-0     Treasure checkmated or captured     123 plies    5.6s  (138/300)
  [w1]  #162  0-1     Party extinct                       176 plies    7.7s  (139/300)
  [w0]  #153  0-1     Party extinct                        94 plies    4.2s  (140/300)
  [w2]  #139  *       ply cap (600)                       600 plies   25.5s  (141/300)
  [w3]  #108  1-0     Treasure checkmated or captured     219 plies    9.5s  (142/300)
  [w0]  #157  0-1     Party extinct                       198 plies    8.6s  (143/300)
  [w1]  #166  0-1     Party extinct                       278 plies   12.0s  (144/300)
  [w3]  #112  0-1     Party extinct                       124 plies    5.5s  (145/300)
  [w2]  #143  0-1     Party extinct                       192 plies    8.4s  (146/300)
  [w3]  #116  0-1     Party extinct                       156 plies    6.8s  (147/300)
  [w0]  #161  1-0     Treasure checkmated or captured     185 plies    8.1s  (148/300)
  [w2]  #147  1-0     Treasure checkmated or captured     187 plies    8.2s  (149/300)
  [w1]  #170  1-0     Treasure checkmated or captured     323 plies   13.9s  (150/300)
  [w0]  #165  0-1     Party extinct                       184 plies    8.1s  (151/300)
  [w3]  #120  1-0     Treasure checkmated or captured     227 plies    9.9s  (152/300)
  [w2]  #151  0-1     Party extinct                       294 plies   12.7s  (153/300)
  [w0]  #169  0-1     Party extinct                       128 plies    5.7s  (154/300)
  [w3]  #124  0-1     Party extinct                       234 plies   10.1s  (155/300)
  [w0]  #173  0-1     Party extinct                       162 plies    7.1s  (156/300)
  [w2]  #155  1-0     Treasure checkmated or captured     231 plies   10.0s  (157/300)
  [w3]  #128  0-1     Party extinct                       176 plies    7.7s  (158/300)
  [w0]  #177  0-1     Party extinct                       228 plies    9.9s  (159/300)
  [w1]  #174  *       ply cap (600)                       600 plies   25.6s  (160/300)
  [w3]  #132  0-1     Party extinct                       118 plies    5.3s  (161/300)
  [w2]  #159  1-0     Treasure checkmated or captured     219 plies    9.6s  (162/300)
  [w3]  #136  0-1     Party has no legal response          46 plies    2.2s  (163/300)
  [w0]  #181  1-0     Treasure checkmated or captured     197 plies    8.6s  (164/300)
  [w2]  #163  1-0     Treasure checkmated or captured     197 plies    8.6s  (165/300)
  [w1]  #178  1-0     Treasure checkmated or captured     327 plies   14.1s  (166/300)
  [w0]  #185  0-1     Party has no legal response         160 plies    7.1s  (167/300)
  [w3]  #140  0-1     Party extinct                       332 plies   14.4s  (168/300)
  [w1]  #182  1-0     Treasure checkmated or captured      99 plies    4.5s  (169/300)
  [w2]  #167  0-1     Party extinct                       246 plies   10.6s  (170/300)
  [w3]  #144  0-1     Party extinct                       264 plies   11.4s  (171/300)
  [w2]  #171  0-1     Party extinct                       238 plies   10.4s  (172/300)
  [w2]  #175  1-0     Treasure checkmated or captured     127 plies    5.7s  (173/300)
  [w0]  #189  *       ply cap (600)                       600 plies   25.5s  (174/300)
  [w3]  #148  0-1     Party extinct                       304 plies   13.1s  (175/300)
  [w1]  #186  *       ply cap (600)                       600 plies   25.5s  (176/300)
  [w2]  #179  0-1     Party extinct                       220 plies    9.6s  (177/300)
  [w3]  #152  0-1     Party extinct                       170 plies    7.5s  (178/300)
  [w0]  #193  0-1     Party extinct                       210 plies    9.1s  (179/300)
  [w1]  #190  0-1     Party extinct                       154 plies    6.8s  (180/300)
  [w2]  #183  1-0     Treasure checkmated or captured     245 plies   10.6s  (181/300)
  [w3]  #156  0-1     Party extinct                       208 plies    9.1s  (182/300)
  [w1]  #194  1-0     Treasure checkmated or captured     241 plies   10.5s  (183/300)
  [w0]  #197  1-0     Treasure checkmated or captured     329 plies   14.2s  (184/300)
  [w2]  #187  0-1     Party extinct                       242 plies   10.6s  (185/300)
  [w3]  #160  0-1     Party extinct                       278 plies   12.1s  (186/300)
  [w1]  #198  0-1     Party extinct                       306 plies   13.2s  (187/300)
  [w0]  #201  0-1     Party extinct                       260 plies   11.2s  (188/300)
  [w3]  #164  0-1     Party extinct                       284 plies   12.2s  (189/300)
  [w0]  #205  1-0     Treasure checkmated or captured     201 plies    8.8s  (190/300)
  [w1]  #202  0-1     Party extinct                       204 plies    8.9s  (191/300)
  [w3]  #168  0-1     Party extinct                       126 plies    5.6s  (192/300)
