Match: rule-set 'v5-d8-striker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v5-d8-striker-range-61864-63420651273245b8aa72ececc2aeaad1.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w1]  #162  1-0     Treasure checkmated or captured      63 plies    3.1s  (159/300)
  [w3]  #156  0-1     Party extinct                       554 plies   24.6s  (160/300)
  [w1]  #166  0-1     Party extinct                        94 plies    4.4s  (161/300)
  [w2]  #179  0-1     Party extinct                       270 plies   12.1s  (162/300)
  [w0]  #145  *       ply cap (600)                       600 plies   26.5s  (163/300)
  [w0]  #149  0-1     Party extinct                       158 plies    7.2s  (164/300)
  [w3]  #160  *       ply cap (600)                       600 plies   26.5s  (165/300)
  [w1]  #170  *       ply cap (600)                       600 plies   26.5s  (166/300)
  [w2]  #183  *       ply cap (600)                       600 plies   26.5s  (167/300)
  [w0]  #153  *       ply cap (600)                       600 plies   26.5s  (168/300)
  [w2]  #187  0-1     Party extinct                       224 plies   10.2s  (169/300)
  [w3]  #164  *       ply cap (600)                       600 plies   26.6s  (170/300)
  [w2]  #191  1-0     Treasure checkmated or captured     269 plies   12.1s  (171/300)
  [w3]  #168  0-1     Party extinct                       250 plies   11.2s  (172/300)
  [w0]  #157  *       ply cap (600)                       600 plies   26.5s  (173/300)
  [w2]  #195  0-1     Party extinct                       346 plies   15.4s  (174/300)
  [w0]  #161  0-1     Party extinct                       292 plies   13.0s  (175/300)
  [w3]  #172  *       ply cap (600)                       600 plies   26.4s  (176/300)
  [w2]  #199  *       ply cap (600)                       600 plies   26.4s  (177/300)
  [w0]  #165  0-1     Party extinct                       424 plies   18.8s  (178/300)
  [w3]  #176  *       ply cap (600)                       600 plies   26.4s  (179/300)
  [w2]  #203  *       ply cap (600)                       600 plies   26.5s  (180/300)
  [w0]  #169  *       ply cap (600)                       600 plies   26.5s  (181/300)
  [w3]  #180  0-1     Party extinct                       220 plies    9.9s  (182/300)
  [w3]  #184  0-1     Party extinct                       176 plies    8.0s  (183/300)
  [w3]  #188  1-0     Treasure checkmated or captured       1 plies    0.3s  (184/300)
  [w3]  #192  0-1     Party extinct                       268 plies   12.0s  (185/300)
  [w0]  #173  1-0     Treasure checkmated or captured     521 plies   23.0s  (186/300)
  [w2]  #207  *       ply cap (600)                       600 plies   26.4s  (187/300)
  [w3]  #196  0-1     Party extinct                       140 plies    6.4s  (188/300)
  [w0]  #177  1-0     Treasure checkmated or captured     185 plies    8.4s  (189/300)
  [w1]  #174  *       engine timeout                      488 plies  141.7s  (190/300)
  [w2]  #211  *       ply cap (600)                       600 plies   26.5s  (191/300)
  [w1]  #178  0-1     Party extinct                       246 plies   11.1s  (192/300)
  [w3]  #200  *       ply cap (600)                       600 plies   26.5s  (193/300)
  [w0]  #181  *       ply cap (600)                       600 plies   26.5s  (194/300)
  [w0]  #185  1-0     Treasure checkmated or captured      55 plies    2.7s  (195/300)
  [w3]  #204  0-1     Party extinct                       260 plies   11.7s  (196/300)
  [w0]  #189  1-0     Treasure checkmated or captured     375 plies   16.7s  (197/300)
  [w2]  #215  *       ply cap (600)                       600 plies   26.5s  (198/300)
  [w1]  #182  *       ply cap (600)                       600 plies   26.5s  (199/300)
  [w3]  #208  *       ply cap (600)                       600 plies   26.5s  (200/300)
  [w0]  #193  *       ply cap (600)                       600 plies   26.6s  (201/300)
  [w2]  #219  *       ply cap (600)                       600 plies   26.6s  (202/300)
  [w1]  #186  *       ply cap (600)                       600 plies   26.6s  (203/300)
  [w0]  #197  0-1     Party extinct                       120 plies    5.6s  (204/300)
  [w3]  #212  *       ply cap (600)                       600 plies   26.5s  (205/300)
  [w3]  #216  0-1     Party extinct                       212 plies    9.6s  (206/300)
  [w2]  #223  *       ply cap (600)                       600 plies   26.5s  (207/300)
  [w0]  #201  1-0     Treasure checkmated or captured     547 plies   24.3s  (208/300)
  [w1]  #190  *       ply cap (600)                       600 plies   26.5s  (209/300)
  [w1]  #194  1-0     Treasure checkmated or captured     413 plies   18.4s  (210/300)
  [w3]  #220  *       ply cap (600)                       600 plies   26.6s  (211/300)
  [w2]  #227  *       ply cap (600)                       600 plies   26.5s  (212/300)
  [w0]  #205  *       ply cap (600)                       600 plies   26.5s  (213/300)
  [w1]  #198  *       ply cap (600)                       600 plies   26.6s  (214/300)
  [w2]  #231  0-1     Party extinct                       526 plies   23.3s  (215/300)
  [w3]  #224  0-1     Party extinct                       592 plies   26.2s  (216/300)
  [w2]  #235  0-1     Party extinct                       126 plies    5.8s  (217/300)
