Match: rule-set 'v5-d8-minion-9'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/gb/ns03xtr53539qh0kc35fzv8dxfq40g/T/yes-hybrid/variants-v5-d8-minion-9-6972-1415d66083474cbfa185e6e952dbedd4.ini
  startFen : 4abtba3/m1mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w0]  #141  1-0     Treasure checkmated or captured     459 plies   19.5s  (130/300)
  [w2]  #139  0-1     Party extinct                       380 plies   16.2s  (131/300)
  [w3]  #160  *       ply cap (600)                       600 plies   25.3s  (132/300)
  [w2]  #143  0-1     Party extinct                       108 plies    4.6s  (133/300)
  [w0]  #145  0-1     Party extinct                       578 plies   24.5s  (134/300)
  [w0]  #149  0-1     Party extinct                       152 plies    6.5s  (135/300)
  [w0]  #153  0-1     Party has no legal response         102 plies    4.5s  (136/300)
  [w3]  #164  *       ply cap (600)                       600 plies   25.5s  (137/300)
  [w2]  #147  *       ply cap (600)                       600 plies   25.4s  (138/300)
  [w0]  #157  *       ply cap (600)                       600 plies   25.5s  (139/300)
  [w3]  #168  *       ply cap (600)                       600 plies   25.3s  (140/300)
  [w2]  #151  *       ply cap (600)                       600 plies   25.3s  (141/300)
  [w0]  #161  *       ply cap (600)                       600 plies   25.3s  (142/300)
  [w3]  #172  *       ply cap (600)                       600 plies   25.4s  (143/300)
  [w2]  #155  *       ply cap (600)                       600 plies   25.2s  (144/300)
  [w0]  #165  0-1     Party extinct                       248 plies   10.6s  (145/300)
  [w0]  #169  0-1     Party extinct                       304 plies   12.9s  (146/300)
  [w2]  #159  0-1     Party extinct                       374 plies   15.9s  (147/300)
  [w3]  #176  *       ply cap (600)                       600 plies   25.3s  (148/300)
  [w2]  #163  0-1     Party has no legal response         156 plies    6.7s  (149/300)
  [w2]  #167  0-1     Party extinct                       276 plies   11.7s  (150/300)
  [w3]  #180  0-1     Party extinct                       326 plies   13.8s  (151/300)
  [w0]  #173  *       ply cap (600)                       600 plies   25.3s  (152/300)
  [w0]  #177  0-1     Party extinct                       386 plies   16.4s  (153/300)
  [w2]  #171  *       ply cap (600)                       600 plies   25.3s  (154/300)
  [w3]  #184  *       ply cap (600)                       600 plies   25.3s  (155/300)
  [w0]  #181  0-1     Party extinct                       288 plies   12.3s  (156/300)
  [w2]  #175  0-1     Party extinct                       278 plies   11.9s  (157/300)
  [w3]  #188  0-1     Party extinct                       392 plies   16.5s  (158/300)
  [w3]  #192  0-1     Party extinct                       116 plies    5.1s  (159/300)
  [w0]  #185  *       ply cap (600)                       600 plies   25.3s  (160/300)
  [w2]  #179  *       ply cap (600)                       600 plies   25.3s  (161/300)
  [w2]  #183  0-1     Party extinct                       188 plies    7.9s  (162/300)
  [w3]  #196  *       ply cap (600)                       600 plies   25.3s  (163/300)
  [w2]  #187  0-1     Party extinct                       174 plies    7.4s  (164/300)
  [w0]  #189  *       ply cap (600)                       600 plies   25.3s  (165/300)
  [w3]  #200  0-1     Party extinct                       422 plies   18.0s  (166/300)
  [w2]  #191  0-1     Party extinct                       524 plies   22.3s  (167/300)
  [w0]  #193  0-1     Party extinct                       454 plies   19.2s  (168/300)
