Match: rule-set 'v5-d8-lurker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v5-d8-lurker-range-62409-d352d2a6124d4e1ea334a7a9a1df7f10.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w3]  #80   0-1     Party extinct                       152 plies    7.0s  (104/300)
  [w1]  #142  1-0     Treasure checkmated or captured     127 plies    5.9s  (105/300)
  [w2]  #99   0-1     Party extinct                       228 plies   10.3s  (106/300)
  [w0]  #101  0-1     Party extinct                       234 plies   10.6s  (107/300)
  [w1]  #146  0-1     Party extinct                       126 plies    5.8s  (108/300)
  [w0]  #105  0-1     Party extinct                       142 plies    6.6s  (109/300)
  [w1]  #150  0-1     Party extinct                       144 plies    6.7s  (110/300)
  [w2]  #103  0-1     Party extinct                       328 plies   14.7s  (111/300)
  [w0]  #109  0-1     Party extinct                       232 plies   10.5s  (112/300)
  [w3]  #84   *       ply cap (600)                       600 plies   26.6s  (113/300)
  [w2]  #107  0-1     Party extinct                       192 plies    8.8s  (114/300)
  [w0]  #113  0-1     Party extinct                       168 plies    7.7s  (115/300)
  [w2]  #111  0-1     Party extinct                       204 plies    9.3s  (116/300)
  [w1]  #154  *       ply cap (600)                       600 plies   26.6s  (117/300)
  [w0]  #117  0-1     Party extinct                       302 plies   13.6s  (118/300)
  [w0]  #121  1-0     Treasure checkmated or captured      11 plies    0.8s  (119/300)
  [w3]  #88   *       ply cap (600)                       600 plies   26.7s  (120/300)
  [w2]  #115  0-1     Party extinct                       352 plies   15.9s  (121/300)
  [w0]  #125  0-1     Party extinct                       180 plies    8.2s  (122/300)
  [w3]  #92   1-0     Treasure checkmated or captured     149 plies    6.9s  (123/300)
  [w0]  #129  0-1     Party extinct                       168 plies    7.7s  (124/300)
  [w1]  #158  *       ply cap (600)                       600 plies   26.7s  (125/300)
  [w0]  #133  0-1     Party extinct                       308 plies   13.9s  (126/300)
  [w2]  #119  *       ply cap (600)                       600 plies   26.6s  (127/300)
  [w0]  #137  0-1     Party extinct                       178 plies    8.1s  (128/300)
  [w3]  #96   *       ply cap (600)                       600 plies   26.7s  (129/300)
  [w2]  #123  0-1     Party extinct                       296 plies   13.4s  (130/300)
  [w1]  #162  0-1     Party extinct                       552 plies   24.5s  (131/300)
  [w1]  #166  0-1     Party extinct                       138 plies    6.4s  (132/300)
  [w0]  #141  0-1     Party extinct                       444 plies   19.8s  (133/300)
  [w3]  #100  0-1     Party extinct                       464 plies   20.7s  (134/300)
  [w2]  #127  *       ply cap (600)                       600 plies   26.6s  (135/300)
  [w1]  #170  0-1     Party extinct                       504 plies   22.5s  (136/300)
  [w3]  #104  0-1     Party extinct                       400 plies   17.9s  (137/300)
  [w1]  #174  1-0     Treasure checkmated or captured     135 plies    6.2s  (138/300)
  [w0]  #145  *       ply cap (600)                       600 plies   26.6s  (139/300)
  [w1]  #178  0-1     Party extinct                       142 plies    6.6s  (140/300)
  [w2]  #131  *       ply cap (600)                       600 plies   26.7s  (141/300)
  [w1]  #182  0-1     Party extinct                       232 plies   10.7s  (142/300)
  [w0]  #149  0-1     Party extinct                       370 plies   16.6s  (143/300)
  [w3]  #108  *       ply cap (600)                       600 plies   26.6s  (144/300)
  [w1]  #186  0-1     Party extinct                       160 plies    7.3s  (145/300)
  [w0]  #153  0-1     Party extinct                       154 plies    7.2s  (146/300)
  [w0]  #157  0-1     Party extinct                       228 plies   10.3s  (147/300)
  [w1]  #190  0-1     Party extinct                       388 plies   17.4s  (148/300)
  [w2]  #135  *       ply cap (600)                       600 plies   26.8s  (149/300)
  [w0]  #161  0-1     Party extinct                       228 plies   10.3s  (150/300)
  [w2]  #139  1-0     Treasure checkmated or captured      69 plies    3.4s  (151/300)
  [w3]  #112  *       ply cap (600)                       600 plies   26.6s  (152/300)
  [w0]  #165  0-1     Party extinct                       156 plies    7.1s  (153/300)
  [w2]  #143  0-1     Party extinct                       240 plies   10.8s  (154/300)
  [w0]  #169  0-1     Party extinct                       124 plies    5.8s  (155/300)
  [w3]  #116  0-1     Party extinct                       246 plies   11.2s  (156/300)
  [w1]  #194  *       ply cap (600)                       600 plies   26.6s  (157/300)
  [w3]  #120  0-1     Party extinct                       326 plies   14.6s  (158/300)
  [w2]  #147  0-1     Party extinct                       412 plies   18.5s  (159/300)
  [w3]  #124  0-1     Party extinct                       176 plies    8.1s  (160/300)
  [w0]  #173  *       ply cap (600)                       600 plies   26.6s  (161/300)
  [w1]  #198  0-1     Party extinct                       382 plies   17.2s  (162/300)
  [w3]  #128  0-1     Party extinct                       304 plies   13.7s  (163/300)
  [w2]  #151  *       ply cap (600)                       600 plies   26.6s  (164/300)
  [w3]  #132  0-1     Party extinct                       242 plies   11.0s  (165/300)
  [w1]  #202  0-1     Party extinct                       464 plies   20.7s  (166/300)
  [w2]  #155  0-1     Party extinct                       154 plies    7.1s  (167/300)
  [w0]  #177  *       ply cap (600)                       600 plies   26.6s  (168/300)
  [w3]  #136  1-0     Treasure checkmated or captured     137 plies    6.3s  (169/300)
  [w0]  #181  0-1     Party extinct                       398 plies   17.8s  (170/300)
  [w3]  #140  0-1     Party extinct                       388 plies   17.3s  (171/300)
  [w1]  #206  *       ply cap (600)                       600 plies   26.6s  (172/300)
